Type,Name,X_Relative_Meters,Y_Relative_Meters
PATH,,114.55570133388211,34.19379333242773
PATH,,114.25606500029679,36.29031999933801
PATH,,114.01951000055787,38.33118666599333
PATH,,113.84603633399301,40.242179999247725
PATH,,113.86180666695037,42.13461999921563
PATH,,113.8933473335374,43.8971866661781
PATH,,113.6410220001688,45.400006666338726
PATH,,113.10483066650839,46.977039999249826
PATH,,112.36362500003227,48.57262666623839
PATH,,111.32278300064316,50.112553332972
PATH,,109.98230466666023,51.522606665909194
PATH,,108.10563500002539,52.8955533326689
PATH,,105.88201800026084,54.19428666588715
PATH,,103.42184600008504,55.54867999975585
PATH,,100.75665966675736,56.940179999011065
PATH,,97.91799966652866,58.20180666605182
PATH,,95.06356933367877,59.25934666615021
PATH,,92.08297633380842,60.24267333270714
PATH,,89.16546466677597,61.13323333283162
PATH,,86.4529673339039,61.96813333270114
PATH,,83.67738866718544,62.89579999979409
PATH,,80.88603966717345,63.84201999938256
PATH,,78.20508300021609,64.84389999922598
PATH,,75.53989666688841,65.97565333286582
PATH,,72.90625099981159,67.23727999951109
PATH,,70.2568350001136,68.66588666652575
PATH,,67.59164866678591,70.33568666666028
PATH,,65.03685466684901,72.02403999929032
PATH,,62.450520000325085,73.82371333282578
PATH,,60.02188866740865,75.69759999950719
PATH,,57.84558266685233,77.51582666553816
PATH,,55.90583166737959,79.24128666592765
PATH,,54.234176333896635,80.92963999974415
PATH,,52.72022433334885,82.48811999897327
PATH,,51.3008943332345,83.86106666573298
PATH,,49.944645667302716,85.08558666580527
PATH,,48.493774999929,86.29155333259106
PATH,,46.88520100029245,87.40475333294441
PATH,,45.16623466659278,88.38807999950134
PATH,,43.47880900048864,89.03744666571498
PATH,,41.93331633335382,89.3157466661988
PATH,,40.687460000476655,89.40851333302675
PATH,,39.757010333805994,89.27863999962582
PATH,,39.18927833389472,89.11165999965192
PATH,,38.82656066713533,89.05599999939696
PATH,,38.258828666887894,88.85191333285007
PATH,,37.59647466721552,88.49939999922029
PATH,,37.15490533365238,88.31386666635538
PATH,,36.77641733393564,88.14688666638148
PATH,,36.17714466710117,87.77581999986069
PATH,,35.64095333377693,87.34909333268945
PATH,,35.05745100023597,86.62551333253887
PATH,,34.31624533342368,85.79061333266935
PATH,,33.748513333512406,84.56609333299255
PATH,,33.16501100064378,82.9519533327175
PATH,,32.439575667125006,80.96674666631714
PATH,,31.619518333508964,78.59191999971401
PATH,,30.704839000467985,76.12432666628294
PATH,,29.742848666874124,73.50830666576897
PATH,,28.62315500068126,70.91083999972795
PATH,,27.424609666676147,68.257713332641
PATH,,26.13144233391843,65.51181999951709
PATH,,24.601720000413295,62.74737333271119
PATH,,22.83544266716924,59.964373332618806
PATH,,20.974543333491752,57.34835333289581
PATH,,18.98748133346613,54.99207999918369
PATH,,16.96887866685347,52.80278666663193
PATH,,14.93450566661113,50.836133333122575
PATH,,12.994754666802223,49.017906665905144
PATH,,11.196936667307298,47.23678666605167
PATH,,9.47797033360763,45.52987999973965
PATH,,7.774774333537643,43.76731333277718
PATH,,5.913875000532485,42.15317333289761
PATH,,3.9425833334642135,40.52047999973155
PATH,,2.065913666829374,38.906339999061004
PATH,,0.31540666654267113,37.236539998926474
PATH,,-1.2458563332133323,35.45541999946849
PATH,,-2.57056433289425,33.50731999964111
PATH,,-3.5483249997816273,31.447899999303814
PATH,,-4.257990000006885,29.332819999502533
PATH,,-4.699559332897692,27.143526665764313
PATH,,-4.967654999895977,25.02844666635852
PATH,,-5.0149659994403635,22.857706666302278
PATH,,-4.873032999462545,20.594199999418095
PATH,,-4.68378899994034,18.31213999964291
PATH,,-4.368382333397669,16.25271999930561
PATH,,-3.832191000073429,14.434493332879157
PATH,,-3.3275403330000586,12.690479999994153
PATH,,-2.838659999892535,10.79803999963076
PATH,,-2.334009333155329,8.905599999267366
PATH,,-1.9712916663959419,6.9760533323309915
PATH,,-1.5612629997560035,5.250593333127966
PATH,,-1.119693666192866,3.71066666639436
PATH,,-0.7096649998890925,2.35627333252566
PATH,,-0.41002866630377355,1.2245199992813127
PATH,,-0.20501433315188677,0.37106666652078957
PATH,,0.015770333629681943,-0.40817333428023517
PATH,,0.37848800072523403,-1.3729466675506785
PATH,,0.7569760004419734,-2.393380000285106
PATH,,1.1354640001587128,-3.4509200007789786
PATH,,1.5297223335051342,-4.471353333513406
PATH,,1.8293586670904531,-5.343360000351396
